time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.071823,0.303198
0.929992,0.071964,0.303319
0.934992,0.072165,0.303506
0.939991,0.072296,0.303633
0.944991,0.072480,0.303829
0.949991,0.072597,0.303962
0.954991,0.072745,0.304166
0.959991,0.072863,0.304306
0.964991,0.073048,0.304520
0.969991,0.073160,0.304666
0.974991,0.073348,0.304891
0.979991,0.073462,0.305044
0.984991,0.073646,0.305279
0.989991,0.073762,0.305439
0.994991,0.073918,0.305685
0.999991,0.074041,0.305853
1.004991,0.126008,0.302981
1.009991,0.126464,0.303093
1.014991,0.127155,0.303263
1.019992,0.127597,0.303379
1.024992,0.128252,0.303557
1.029992,0.128688,0.303679
1.034992,0.129352,0.303866
1.039993,0.129797,0.303993
1.044993,0.130475,0.304188
1.049993,0.130923,0.304321
1.054993,0.131575,0.304526
1.059994,0.132018,0.304665
1.064994,0.132677,0.304879
1.069994,0.133122,0.305025
1.074994,0.133821,0.305250
1.079994,0.134303,0.305403
1.084995,0.135024,0.305637
1.089995,0.135505,0.305798
1.094995,0.136205,0.306043
1.099995,0.136658,0.306211
1.104996,0.147779,0.303334
1.109996,0.148124,0.303445
1.114996,0.148609,0.303615
1.119996,0.148946,0.303732
1.124997,0.149485,0.303910
1.129997,0.149848,0.304031
1.134997,0.150419,0.304217
1.139997,0.150788,0.304345
1.144997,0.151337,0.304540
1.149998,0.151714,0.304673
1.154998,0.152242,0.304877
1.159998,0.152578,0.305017
1.164998,0.153076,0.305230
1.169999,0.153413,0.305376
1.174999,0.153934,0.305601
1.179999,0.154286,0.305753
1.184999,0.154776,0.305988
1.190000,0.155123,0.306148
1.195000,0.155645,0.306394
1.200000,0.156002,0.306561
1.205000,0.159929,0.303679
1.210001,0.160087,0.303790
1.215001,0.160343,0.303960
1.220001,0.160514,0.304076
1.225001,0.160781,0.304254
1.230001,0.160934,0.304376
1.235002,0.161169,0.304562
1.240002,0.161337,0.304689
1.245002,0.161605,0.304884
1.250002,0.161784,0.305017
1.255003,0.162101,0.305221
1.260003,0.162311,0.305360
1.265003,0.162614,0.305574
1.270003,0.162828,0.305720
1.275004,0.163156,0.305944
1.280004,0.163377,0.306097
1.285004,0.163686,0.306331
1.290004,0.163871,0.306491
1.295004,0.164175,0.306736
1.300005,0.164363,0.306904
1.305005,0.142758,0.304017
1.310005,0.142559,0.304128
1.315005,0.142275,0.304298
1.320006,0.142074,0.304414
1.325006,0.141749,0.304592
1.330006,0.141526,0.304713
1.335006,0.141161,0.304899
1.340007,0.140916,0.305026
1.345007,0.140527,0.305221
1.350007,0.140275,0.305354
1.355007,0.139892,0.305558
1.360008,0.139662,0.305697
1.365008,0.139280,0.305910
1.370008,0.139008,0.306056
1.375008,0.138564,0.306280
1.380008,0.138248,0.306432
1.385009,0.137791,0.306667
1.390009,0.137519,0.306826
1.395009,0.137064,0.307071
1.400009,0.136776,0.307239
1.405010,0.113275,0.304348
1.410010,0.112800,0.304459
1.415010,0.112109,0.304629
1.420010,0.111678,0.304745
1.425011,0.110995,0.304922
1.430011,0.110511,0.305043
1.435011,0.109791,0.305229
1.440011,0.109308,0.305356
1.445011,0.108578,0.305550
1.450012,0.108088,0.305683
1.455012,0.107355,0.305887
1.460012,0.106878,0.306026
1.465012,0.106155,0.306239
1.470013,0.105657,0.306385
1.475013,0.104903,0.306608
1.480013,0.104377,0.306761
1.485013,0.103639,0.306995
1.490014,0.103164,0.307154
1.495014,0.102425,0.307399
1.500014,0.101925,0.307566
1.505014,0.131408,0.304672
1.510015,0.131230,0.304783
1.515015,0.130951,0.304952
1.520015,0.130753,0.305068
1.525015,0.130468,0.305245
1.530015,0.130262,0.305366
1.535016,0.129948,0.305552
1.540016,0.129771,0.305679
1.545016,0.129513,0.305873
1.550016,0.129345,0.306006
1.555017,0.129076,0.306209
1.560017,0.128910,0.306348
1.565017,0.128620,0.306561
1.570017,0.128406,0.306706
1.575018,0.128095,0.306930
1.580018,0.127911,0.307082
1.585018,0.127610,0.307316
1.590018,0.127437,0.307475
1.595019,0.127160,0.307720
1.600019,0.126943,0.307887
1.605019,0.186570,0.304989
1.610019,0.187472,0.305099
1.615019,0.188810,0.305269
1.620020,0.189693,0.305384
1.625020,0.191060,0.305562
1.630020,0.191981,0.305682
1.635020,0.193359,0.305868
1.640021,0.194253,0.305994
1.645021,0.195574,0.306189
1.650021,0.196465,0.306321
1.655021,0.197812,0.306524
1.660022,0.198706,0.306663
1.665022,0.200009,0.306876
1.670022,0.200867,0.307021
1.675022,0.202148,0.307244
1.680022,0.202984,0.307396
1.685023,0.204227,0.307630
1.690023,0.205053,0.307789
1.695023,0.206257,0.308034
1.700023,0.207052,0.308200
1.705024,0.158555,0.305299
1.710024,0.158829,0.305409
1.715024,0.159225,0.305578
1.720024,0.159487,0.305694
1.725025,0.159905,0.305871
1.730025,0.160191,0.305992
1.735025,0.160632,0.306177
1.740025,0.160929,0.306303
1.745026,0.161353,0.306497
1.750026,0.161616,0.306630
1.755026,0.162012,0.306833
1.760026,0.162282,0.306971
1.765026,0.162693,0.307184
1.770027,0.162980,0.307329
1.775027,0.163405,0.307552
1.780027,0.163682,0.307704
1.785027,0.164098,0.307937
1.790028,0.164394,0.308096
1.795028,0.164802,0.308340
1.800028,0.165052,0.308507
1.805028,0.147781,0.305602
1.810029,0.148140,0.305712
1.815029,0.148670,0.305881
1.820029,0.148990,0.305997
1.825029,0.149457,0.306174
1.830029,0.149756,0.306294
1.835030,0.150171,0.306479
1.840030,0.150440,0.306606
1.845030,0.150862,0.306799
1.850030,0.151147,0.306932
1.855031,0.151593,0.307134
1.860031,0.151909,0.307273
1.865031,0.152414,0.307485
1.870031,0.152748,0.307630
1.875032,0.153236,0.307853
1.880032,0.153549,0.308005
1.885032,0.154033,0.308238
1.890032,0.154366,0.308397
1.895033,0.154907,0.308641
1.900033,0.155264,0.308807
1.905033,0.151080,0.305899
1.910033,0.150990,0.306009
1.915033,0.150869,0.306178
1.920034,0.150790,0.306293
1.925034,0.150688,0.306470
1.930034,0.150607,0.306590
1.935034,0.150470,0.306775
1.940035,0.150382,0.306901
1.945035,0.150239,0.307095
1.950035,0.150147,0.307227
1.955035,0.149978,0.307430
1.960036,0.149871,0.307568
1.965036,0.149737,0.307780
1.970036,0.149661,0.307925
1.975036,0.149525,0.308147
1.980036,0.149411,0.308299
1.985037,0.149253,0.308532
1.990037,0.149144,0.308691
1.995037,0.148984,0.308934
2.000037,0.148860,0.309101
2.005037,0.148472,0.306189
2.010037,0.148254,0.306299
2.015036,0.147964,0.306468
2.020036,0.147769,0.306583
2.025036,0.147441,0.306759
2.030035,0.147213,0.306880
2.035035,0.146861,0.307065
2.040035,0.146615,0.307191
2.045034,0.146236,0.307384
2.050034,0.145986,0.307516
